source;target
153612776;165234066
155466463;324697670
155466463;65319327
155466463;148061577
155466463;165234066
134145592;145894264
134145592;148017098
134145592;181732679
134145592;183354590
134145592;224198755
134145592;570100620
145894264;224198755
145894264;95527019
145894264;183354590
145894264;181732679
148017098;224198755
148017098;95527019
148017098;183354590
148017098;181732679
148017098;221138779
148017098;570100620
181732679;95527019
181732679;153948361
181732679;183354590
183354590;224198755
183354590;95527019
183354590;153948361
183354590;221138779
183354590;570100620
224198755;69660633
224198755;158698934
224198755;221138779
180542560;282696928
180542560;333033892
69660633;447160450
69660633;606396724
158698934;95527019
175868516;86956807
175868516;287023568
86956807;110382208
86956807;104952087
190397546;206635441
220483339;240954082
220483339;247932292
247932292;240954082
138650229;171408584
138650229;229213895
171408584;140909561
171408584;148169024
171408584;193541506
110382208;119064305
110382208;221318546
110382208;498172255
221318546;104952087
221318546;498172255
240954082;168759267
240954082;289333053
60968297;587048243
60968297;186609107
60968297;217309137
63882987;217309137
63882987;587048243
65319327;499869950
217309137;186609107
165043584;94895995
